Category,Question1,Answer1,Question2,Answer2,Question3,Answer3
"Name 3:
○○の３つを言う",Jagariko flavors,,Pokémon,,Godzilla enemies,
"How many:
いくつ",Ozora classes,5,Legs on a spider,8,Rainbow colors,7
"Video Game Enemy:
ゲームのてき",Creeper,Minecraft,Ganondorf,Legend of Zelda,Bowser,Super Mario
"Most popular food (country):
国の人気の食べ物",Japan,Sushi,America,Hamburgers,Korea,Kimchi
"Holidays
とくべつな日付",December 25th,Christmas,February 14th,Valentine's Day,October 31st,Halloween
"Disney Friend:
ディズニー",Abu,Aladdin,Pascal,Rapunzel,Pua-Heihei,Moana
"#1 Ranking
＃1 ランキング",Umaibo flavor,Corn Potage,Sanrio Character,Cinnamoroll,Manga,One Piece
"Flag colors:
国旗の色",Japan,White and red,America,"Red, white, and blue",Korea,"Red, white, blue, and black"
"What anime?
アニメ",Vegeta,Dragon Ball,Zoro,One Piece,Todoroki Shoto,My Hero Academia
"Song and Artist
音楽",Blue and Summer, 青と夏 Mrs. Green Apple,Giant monster,怪獣 Sakanaction,The Dinner Song, 晩餐歌 tuki
